2023-11-13 00:01:16.374 INFO  [SpringApplicationShutdownHook] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Shutdown initiated...
2023-11-13 00:01:16.379 INFO  [SpringApplicationShutdownHook] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Shutdown completed.
2023-11-13 00:01:22.914 INFO  [restartedMain] [com.chunjae.pro05.Pro05Application] - Starting Pro05Application using Java 17.0.8 on DESKTOP-7L0EMP8 with PID 37904 (D:\github\project05\pro05\build\classes\java\main started by tlsdp in D:\github\project05\pro05)
2023-11-13 00:01:22.916 INFO  [restartedMain] [com.chunjae.pro05.Pro05Application] - The following 1 profile is active: "local"
2023-11-13 00:01:23.063 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-11-13 00:01:23.069 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-11-13 00:01:23.798 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat initialized with port(s): 8086 (http)
2023-11-13 00:01:23.803 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Initializing ProtocolHandler ["http-nio-8086"]
2023-11-13 00:01:23.804 INFO  [restartedMain] [org.apache.catalina.core.StandardService] - Starting service [Tomcat]
2023-11-13 00:01:23.805 INFO  [restartedMain] [org.apache.catalina.core.StandardEngine] - Starting Servlet engine: [Apache Tomcat/9.0.82]
2023-11-13 00:01:23.856 INFO  [restartedMain] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring embedded WebApplicationContext
2023-11-13 00:01:23.857 INFO  [restartedMain] [o.s.b.w.s.c.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 788 ms
2023-11-13 00:01:24.269 INFO  [restartedMain] [o.s.s.web.DefaultSecurityFilterChain] - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@51e3bd2c, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@c064ab, org.springframework.security.web.context.SecurityContextPersistenceFilter@7d2e601f, org.springframework.security.web.header.HeaderWriterFilter@346e9b78, org.springframework.security.web.authentication.logout.LogoutFilter@436ce71a, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@22fe618a, org.springframework.security.web.session.ConcurrentSessionFilter@2ca6bf87, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@6eb92ea4, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@35ffdedb, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@c6789d5, org.springframework.security.web.session.SessionManagementFilter@671582a7, org.springframework.security.web.access.ExceptionTranslationFilter@aa2425f, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@4426e9d2]
2023-11-13 00:01:24.542 INFO  [restartedMain] [o.s.b.d.a.OptionalLiveReloadServer] - LiveReload server is running on port 35729
2023-11-13 00:01:24.554 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Starting ProtocolHandler ["http-nio-8086"]
2023-11-13 00:01:24.567 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat started on port(s): 8086 (http) with context path ''
2023-11-13 00:01:24.577 INFO  [restartedMain] [com.chunjae.pro05.Pro05Application] - Started Pro05Application in 1.917 seconds (JVM running for 2.429)
2023-11-13 00:01:24.620 INFO  [http-nio-8086-exec-1] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-11-13 00:01:24.620 INFO  [http-nio-8086-exec-1] [o.s.web.servlet.DispatcherServlet] - Initializing Servlet 'dispatcherServlet'
2023-11-13 00:01:24.620 INFO  [http-nio-8086-exec-1] [o.s.web.servlet.DispatcherServlet] - Completed initialization in 0 ms
2023-11-13 00:01:24.665 INFO  [http-nio-8086-exec-1] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Starting...
2023-11-13 00:01:24.717 INFO  [http-nio-8086-exec-1] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Start completed.
2023-11-13 00:02:25.539 INFO  [SpringApplicationShutdownHook] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Shutdown initiated...
2023-11-13 00:02:25.543 INFO  [SpringApplicationShutdownHook] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Shutdown completed.
2023-11-13 00:02:31.740 INFO  [restartedMain] [com.chunjae.pro05.Pro05Application] - Starting Pro05Application using Java 17.0.8 on DESKTOP-7L0EMP8 with PID 39968 (D:\github\project05\pro05\build\classes\java\main started by tlsdp in D:\github\project05\pro05)
2023-11-13 00:02:31.742 INFO  [restartedMain] [com.chunjae.pro05.Pro05Application] - The following 1 profile is active: "local"
2023-11-13 00:02:31.887 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-11-13 00:02:31.887 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-11-13 00:02:32.598 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat initialized with port(s): 8086 (http)
2023-11-13 00:02:32.603 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Initializing ProtocolHandler ["http-nio-8086"]
2023-11-13 00:02:32.604 INFO  [restartedMain] [org.apache.catalina.core.StandardService] - Starting service [Tomcat]
2023-11-13 00:02:32.604 INFO  [restartedMain] [org.apache.catalina.core.StandardEngine] - Starting Servlet engine: [Apache Tomcat/9.0.82]
2023-11-13 00:02:32.656 INFO  [restartedMain] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring embedded WebApplicationContext
2023-11-13 00:02:32.656 INFO  [restartedMain] [o.s.b.w.s.c.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 768 ms
2023-11-13 00:02:33.052 INFO  [restartedMain] [o.s.s.web.DefaultSecurityFilterChain] - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@25ba07b4, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@1c9136ca, org.springframework.security.web.context.SecurityContextPersistenceFilter@28441c3a, org.springframework.security.web.header.HeaderWriterFilter@52a23f84, org.springframework.security.web.authentication.logout.LogoutFilter@1e6fff8f, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@73a9477e, org.springframework.security.web.session.ConcurrentSessionFilter@620de4d4, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@3f0e92c2, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@aa2425f, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@2802e885, org.springframework.security.web.session.SessionManagementFilter@61815c3a, org.springframework.security.web.access.ExceptionTranslationFilter@690e3c35, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@41b1bc11]
2023-11-13 00:02:33.331 INFO  [restartedMain] [o.s.b.d.a.OptionalLiveReloadServer] - LiveReload server is running on port 35729
2023-11-13 00:02:33.344 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Starting ProtocolHandler ["http-nio-8086"]
2023-11-13 00:02:33.357 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat started on port(s): 8086 (http) with context path ''
2023-11-13 00:02:33.368 INFO  [restartedMain] [com.chunjae.pro05.Pro05Application] - Started Pro05Application in 1.875 seconds (JVM running for 2.42)
2023-11-13 00:03:37.545 INFO  [restartedMain] [com.chunjae.pro05.Pro05Application] - Starting Pro05Application using Java 17.0.8 on DESKTOP-7L0EMP8 with PID 31980 (D:\github\project05\pro05\build\classes\java\main started by tlsdp in D:\github\project05\pro05)
2023-11-13 00:03:37.547 INFO  [restartedMain] [com.chunjae.pro05.Pro05Application] - The following 1 profile is active: "local"
2023-11-13 00:03:37.701 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-11-13 00:03:37.701 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-11-13 00:03:38.437 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat initialized with port(s): 8086 (http)
2023-11-13 00:03:38.445 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Initializing ProtocolHandler ["http-nio-8086"]
2023-11-13 00:03:38.446 INFO  [restartedMain] [org.apache.catalina.core.StandardService] - Starting service [Tomcat]
2023-11-13 00:03:38.446 INFO  [restartedMain] [org.apache.catalina.core.StandardEngine] - Starting Servlet engine: [Apache Tomcat/9.0.82]
2023-11-13 00:03:38.503 INFO  [restartedMain] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring embedded WebApplicationContext
2023-11-13 00:03:38.503 INFO  [restartedMain] [o.s.b.w.s.c.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 801 ms
2023-11-13 00:03:39.108 INFO  [restartedMain] [o.s.s.web.DefaultSecurityFilterChain] - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@65717101, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@733c749e, org.springframework.security.web.context.SecurityContextPersistenceFilter@7cf8519a, org.springframework.security.web.header.HeaderWriterFilter@395fbb71, org.springframework.security.web.authentication.logout.LogoutFilter@298361fe, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@5088da73, org.springframework.security.web.session.ConcurrentSessionFilter@693dd21e, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@5b22197a, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@76a4d46a, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@45ec4d6b, org.springframework.security.web.session.SessionManagementFilter@7495424c, org.springframework.security.web.access.ExceptionTranslationFilter@7c49512b, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@39e28508]
2023-11-13 00:03:39.546 INFO  [restartedMain] [o.s.b.d.a.OptionalLiveReloadServer] - LiveReload server is running on port 35729
2023-11-13 00:03:39.560 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Starting ProtocolHandler ["http-nio-8086"]
2023-11-13 00:03:39.573 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat started on port(s): 8086 (http) with context path ''
2023-11-13 00:03:39.585 INFO  [restartedMain] [com.chunjae.pro05.Pro05Application] - Started Pro05Application in 2.442 seconds (JVM running for 3.409)
2023-11-13 00:03:39.761 INFO  [http-nio-8086-exec-1] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-11-13 00:03:39.761 INFO  [http-nio-8086-exec-1] [o.s.web.servlet.DispatcherServlet] - Initializing Servlet 'dispatcherServlet'
2023-11-13 00:03:39.762 INFO  [http-nio-8086-exec-1] [o.s.web.servlet.DispatcherServlet] - Completed initialization in 1 ms
2023-11-13 00:03:39.801 INFO  [http-nio-8086-exec-1] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Starting...
2023-11-13 00:03:39.852 INFO  [http-nio-8086-exec-1] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Start completed.
2023-11-13 00:04:59.299 INFO  [SpringApplicationShutdownHook] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Shutdown initiated...
2023-11-13 00:04:59.302 INFO  [SpringApplicationShutdownHook] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Shutdown completed.
2023-11-13 00:05:05.325 INFO  [restartedMain] [com.chunjae.pro05.Pro05Application] - Starting Pro05Application using Java 17.0.8 on DESKTOP-7L0EMP8 with PID 15812 (D:\github\project05\pro05\build\classes\java\main started by tlsdp in D:\github\project05\pro05)
2023-11-13 00:05:05.327 INFO  [restartedMain] [com.chunjae.pro05.Pro05Application] - The following 1 profile is active: "local"
2023-11-13 00:05:05.590 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-11-13 00:05:05.590 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-11-13 00:05:06.450 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat initialized with port(s): 8086 (http)
2023-11-13 00:05:06.455 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Initializing ProtocolHandler ["http-nio-8086"]
2023-11-13 00:05:06.456 INFO  [restartedMain] [org.apache.catalina.core.StandardService] - Starting service [Tomcat]
2023-11-13 00:05:06.456 INFO  [restartedMain] [org.apache.catalina.core.StandardEngine] - Starting Servlet engine: [Apache Tomcat/9.0.82]
2023-11-13 00:05:06.515 INFO  [restartedMain] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring embedded WebApplicationContext
2023-11-13 00:05:06.515 INFO  [restartedMain] [o.s.b.w.s.c.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 925 ms
2023-11-13 00:05:06.908 INFO  [restartedMain] [o.s.s.web.DefaultSecurityFilterChain] - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@356164ad, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@2015ea2c, org.springframework.security.web.context.SecurityContextPersistenceFilter@596db308, org.springframework.security.web.header.HeaderWriterFilter@80f24b4, org.springframework.security.web.authentication.logout.LogoutFilter@2ca6bf87, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@4fab4944, org.springframework.security.web.session.ConcurrentSessionFilter@715f4372, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@797638b5, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@61815c3a, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@33ab8fe4, org.springframework.security.web.session.SessionManagementFilter@61f645cc, org.springframework.security.web.access.ExceptionTranslationFilter@1008a404, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@72072b97]
2023-11-13 00:05:07.179 INFO  [restartedMain] [o.s.b.d.a.OptionalLiveReloadServer] - LiveReload server is running on port 35729
2023-11-13 00:05:07.192 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Starting ProtocolHandler ["http-nio-8086"]
2023-11-13 00:05:07.206 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat started on port(s): 8086 (http) with context path ''
2023-11-13 00:05:07.216 INFO  [restartedMain] [com.chunjae.pro05.Pro05Application] - Started Pro05Application in 2.362 seconds (JVM running for 2.941)
